Column1,Column2
2.2510191,48.8871537
2.2510173,48.8878341
2.2510023,48.8882787
2.2510023,48.8872335
2.2510001,48.8952846
2.2509914,48.8947976
2.2509876,48.8897797
2.2509813,48.890478
2.2509809,48.8873129
2.2509781,48.8877574
2.2509764,48.8918586
2.2509588,48.8871731
2.2509441,48.8857058
2.2509435,48.8860957
2.250938,48.8872538
2.2509211,48.8881231
2.2509053,48.8880245
2.250893,48.8871943
2.2508912,48.8878949
2.2508902,48.8898089
2.2508755,48.8878741
2.2508662,48.889785
2.2508644,48.8859365
2.2508386,48.8859085
2.2508335,48.8916572
2.2508281,48.8886486
2.250824,48.8873614
2.2508105,48.8879384
2.2508044,48.8877794
2.2507863,48.8877553
2.2507811,48.8873005
2.2507652,48.8876843
2.2507623,48.8886626
2.2507609,48.8873812
2.2507459,48.8878937
2.2507449,48.8858614
2.2507415,48.8882315
2.2507375,48.8872428
2.2507299,48.8887222
2.2507244,48.8878514
2.250718,48.887323
2.2506898,48.8887978
2.2506826,48.8882505
2.2506812,48.8878033
2.2506765,48.8872617
2.2506536,48.8878105
2.2506433,48.8877219
2.250627,48.8954433
2.2506246,48.8882691
2.2505977,48.885638
2.2505677,48.8890271
2.2505599,48.8876
2.2505461,48.8874939
2.2505319,48.8879012
2.250521,48.8880304
2.2505072,48.8957216
2.2505072,48.8946235
2.2505068,48.8883071
2.2505054,48.8888551
2.2504905,48.8889076
2.2504812,48.8861432
2.2504738,48.8878839
2.2504519,48.8889633
2.2504479,48.888326
2.2504317,48.8890474
2.2504309,48.8874769
2.2504247,48.8906623
2.2504246,48.8963933
2.2504116,48.8875152
2.2503917,48.8861045
2.2503907,48.8875545
2.2503905,48.8906546
2.2503891,48.888345
2.2503878,48.8897161
2.25038,48.8953382
2.2503733,48.8874638
2.2503674,48.8951272
2.2503549,48.8906465
2.2503528,48.8875024
2.2503471,48.8956096
2.2503439,48.8897925
2.2503329,48.8875419
2.2503306,48.8894922
2.2503241,48.8876722
2.2503224,48.8876308
2.2503196,48.8906385
2.2503155,48.887451
2.2503075,48.8948273
2.2503034,48.8908153
2.2502976,48.8951391
2.2502956,48.8874893
2.2502905,48.8909327
2.2502832,48.8906302
2.2502708,48.8883831
2.2502701,48.8879892
2.2502698,48.894807
2.2502697,48.8876895
2.2502661,48.8889464
2.2502659,48.8949797
2.2502637,48.8889243
2.2502614,48.8889019
2.2502506,48.8879956
2.2502475,48.8906221
2.2502427,48.8889859
2.2502411,48.8949976
2.250231,48.8888585
2.2502267,48.8890128
2.2502231,48.8887017
2.250213,48.8890357
2.250212,48.888402
2.2502115,48.887708
2.2502075,48.8908454
2.2502019,48.888817
2.2501999,48.8899464
2.2501984,48.8896647
2.2501892,48.8890759
2.2501848,48.8955068
2.2501829,48.8872769
2.2501709,48.8887727
2.2501696,48.8891089
2.2501687,48.8951904
2.2501525,48.8884212
2.2501522,48.8869977
2.2501503,48.8877274
2.2501501,48.8891413
2.2501287,48.8908413
2.2501234,48.8891748
2.2501065,48.8949694
2.2501006,48.8892035
2.2500962,48.8877447
2.2500944,48.8898375
2.2500934,48.8884402
2.2500856,48.8952784
2.2500853,48.8893991
2.2500824,48.8954601
2.2500793,48.8880492
2.250077,48.888151
2.2500758,48.894039
2.2500735,48.8892344
2.2500688,48.8897403
2.2500556,48.893718
2.2500542,48.8908855
2.250053,48.8952567
2.2500464,48.8892653
2.2500344,48.8884592
2.2500344,48.8877643
2.2500209,48.8954145
2.2500187,48.8892969
2.2499946,48.8893243
2.2499944,48.8931029
2.2499915,48.8882194
2.249977,48.8877826
2.2499754,48.8884782
2.2499737,48.8928739
2.249973,48.889349
2.2499554,48.8905176
2.2499512,48.8924975
2.2499375,48.8893603
2.2499189,48.8949794
2.2499176,48.889873
2.2499166,48.890988
2.2499069,48.8878048
2.2499053,48.8900008
2.2499024,48.8871614
2.2499013,48.8893719
2.2498852,48.8949601
2.2498796,48.89525
2.2498639,48.8955027
2.249854,48.8952694
2.2498504,48.8878228
2.2498392,48.8952266
2.24982,48.8900813
2.2498054,48.8926197
2.2498039,48.8900954
2.2497973,48.8878397
2.249787,48.8901084
2.2497824,48.8950757
2.2497686,48.8951773
2.2497673,48.8955738
2.2497519,48.8878541
